Fixation,Palabra,Imagen,Correct_answer
Fixation_Point_Coin_Star-1.jpg,eye.wav,I070.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,bed.wav,I0130.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,ball.wav,I14.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cup.wav,I0245.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,doll.wav,I15.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pineapple.wav,I0173.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,table.wav,I226.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,balloon .wav,I105.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,banana.wav,I074.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,frog.wav,I100.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,duck.wav,I081.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,foot.wav,I094.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,flower.wav,I091.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,guitar.wav,I111.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,arm.wav,I007.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,lamp.wav,I115.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,broom.wav,I44.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,house.wav,I122.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,cow.wav,I182.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,book.wav,I030.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bell.wav,I025.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,chicken.wav,I260.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,candle.wav,I086.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,mountain.wav,I146.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,knife.wav,I153.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pear.wav,I132.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,pig.wav,I040.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,glasses.wav,I135.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,heart.wav,I119.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,star.wav,I217.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,turtle.wav,I244.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,pants.wav,I037.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,apple.wav,I006.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,fork.wav,I097.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,bus.wav,I162.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,finger.wav,I088.png,ArrowRight
Fixation_Point_Coin_Star-1.jpg,rabbit.wav,I233.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,chair.wav,I047.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,key.wav,I166.png,ArrowLeft
Fixation_Point_Coin_Star-1.jpg,umbrella.wav,I002.png,ArrowLeft
